Frame No: 56  , Epoch Time = 1496669665021730 , IAT = 1.002721 ,Frame Size = 54   ,Trans Rate = 53.853465  
Frame No: 57  , Epoch Time = 1496669665091912 , IAT = 0.070182 ,Frame Size = 60   ,Trans Rate = 854.920065  
Frame No: 58  , Epoch Time = 1496669665092029 , IAT = 0.000117 ,Frame Size = 54   ,Trans Rate = 461538.461538  
Frame No: 59  , Epoch Time = 1496669665474385 , IAT = 0.382356 ,Frame Size = 135  ,Trans Rate = 353.074098  
Frame No: 60  , Epoch Time = 1496669665499885 , IAT = 0.025500 ,Frame Size = 54   ,Trans Rate = 2117.647059  
Frame No: 68  , Epoch Time = 1496669668893914 , IAT = 0.025666 ,Frame Size = 54   ,Trans Rate = 2103.950752  
Frame No: 80  , Epoch Time = 1496669670250762 , IAT = 0.000064 ,Frame Size = 74   ,Trans Rate = 1156250.000000  
Frame No: 81  , Epoch Time = 1496669670250843 , IAT = 0.000081 ,Frame Size = 314  ,Trans Rate = 3876543.209877  
Frame No: 82  , Epoch Time = 1496669670250898 , IAT = 0.000055 ,Frame Size = 807  ,Trans Rate = 14672727.272727  
Frame No: 91  , Epoch Time = 1496669670254348 , IAT = 0.000644 ,Frame Size = 979  ,Trans Rate = 1520186.335404  
Frame No: 92  , Epoch Time = 1496669670254417 , IAT = 0.000069 ,Frame Size = 74   ,Trans Rate = 1072463.768116  
Frame No: 93  , Epoch Time = 1496669670257565 , IAT = 0.003148 ,Frame Size = 74   ,Trans Rate = 23506.988564  
Frame No: 94  , Epoch Time = 1496669670258976 , IAT = 0.001411 ,Frame Size = 66   ,Trans Rate = 46775.336641  
Frame No: 95  , Epoch Time = 1496669670259694 , IAT = 0.000718 ,Frame Size = 66   ,Trans Rate = 91922.005571  
Frame No: 96  , Epoch Time = 1496669670259907 , IAT = 0.000213 ,Frame Size = 54   ,Trans Rate = 253521.126761  
Frame No: 97  , Epoch Time = 1496669670260085 , IAT = 0.000178 ,Frame Size = 280  ,Trans Rate = 1573033.707865  
Frame No: 98  , Epoch Time = 1496669670260191 , IAT = 0.000106 ,Frame Size = 787  ,Trans Rate = 7424528.301887  
Frame No: 99  , Epoch Time = 1496669670260574 , IAT = 0.000383 ,Frame Size = 74   ,Trans Rate = 193211.488251  
Frame No: 100 , Epoch Time = 1496669670260616 , IAT = 0.000042 ,Frame Size = 74   ,Trans Rate = 1761904.761905  
Frame No: 101 , Epoch Time = 1496669670261267 , IAT = 0.000651 ,Frame Size = 60   ,Trans Rate = 92165.898618  
Frame No: 102 , Epoch Time = 1496669670263241 , IAT = 0.001974 ,Frame Size = 1514 ,Trans Rate = 766970.618034  
Frame No: 103 , Epoch Time = 1496669670263930 , IAT = 0.000689 ,Frame Size = 939  ,Trans Rate = 1362844.702467  
Frame No: 104 , Epoch Time = 1496669670264017 , IAT = 0.000087 ,Frame Size = 54   ,Trans Rate = 620689.655172  
Frame No: 105 , Epoch Time = 1496669670266883 , IAT = 0.002866 ,Frame Size = 54   ,Trans Rate = 18841.591068  
Frame No: 106 , Epoch Time = 1496669670267792 , IAT = 0.000909 ,Frame Size = 60   ,Trans Rate = 66006.600660  
Frame No: 107 , Epoch Time = 1496669670267913 , IAT = 0.000121 ,Frame Size = 54   ,Trans Rate = 446280.991736  
